AERONET Data Download (Version 3 Direct Sun and Inversion Algorithms)
AERONET Version 3
Tucson
Version 3: Almucantar Level 2.0 Inversion
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
All Points,Contact: Please visit https://aeronet.gsfc.nasa.gov/new_web/data_usage.html to properly cite these data and contact principal investigators at https://aeronet.gsfc.nasa.gov/cgi-bin/site_info_v3
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),AOD_Extinction-Total[440nm],AOD_Extinction-Total[675nm],AOD_Extinction-Total[870nm],AOD_Extinction-Total[1020nm],AOD_Extinction-Fine[440nm],AOD_Extinction-Fine[675nm],AOD_Extinction-Fine[870nm],AOD_Extinction-Fine[1020nm],AOD_Extinction-Coarse[440nm],AOD_Extinction-Coarse[675nm],AOD_Extinction-Coarse[870nm],AOD_Extinction-Coarse[1020nm],Extinction_Angstrom_Exponent_440-870nm-Total,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
Cart_Site,29:09:2016,21:22:15,273,273.890451,0.069100,0.035900,0.026100,0.021900,0.058800,0.024900,0.014700,0.010400,0.010400,0.011000,0.011400,0.011500,1.440576,58.361557,57.852517,1.188796,0.277457,0.069689,4,10,7,5,4,10,7,5,4,10,7,5,4,10,7,5,0.059600,0.121000,0.283110,0.312080,1,1,09:02:2021,03:49:19,620,36.606670,-97.486390,318.000000,lev20,Almucantar
Cart_Site,29:09:2016,21:38:34,273,273.901782,0.063200,0.033100,0.024500,0.021200,0.053900,0.023400,0.014400,0.010800,0.009300,0.009700,0.010100,0.010300,1.404431,61.189802,60.662646,1.710057,0.241457,0.064253,3,10,8,5,3,10,8,5,3,10,7,5,3,10,7,5,0.060650,0.122820,0.289250,0.317950,1,1,09:02:2021,03:49:50,620,36.606670,-97.486390,318.000000,lev20,Almucantar
CARTEL,29:09:2016,21:06:51,273,273.879757,0.030300,0.020200,0.015700,0.013500,0.024600,0.014000,0.009200,0.006800,0.005700,0.006200,0.006500,0.006700,0.962179,76.794637,76.296107,2.965554,0.095092,0.030117,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.043240,0.082860,0.318090,0.319850,1,1,28:08:2021,10:52:16,511,45.379754,-71.931330,251.000000,lev20,Almucantar
Sioux_Falls,29:09:2016,22:47:59,273,273.949988,0.038500,0.026600,0.022500,0.020700,0.023900,0.011200,0.006600,0.004600,0.014600,0.015400,0.015900,0.016100,0.798610,76.721983,76.206857,2.838062,0.123298,0.036157,4,10,7,5,4,10,7,5,2,10,7,6,3,10,7,5,0.075930,0.166860,0.425230,0.457760,1,1,07:01:2018,07:10:33,91,43.736481,-96.625991,505.000000,lev20,Almucantar
XiangHe,30:09:2016,01:01:21,274,274.042604,0.905400,0.536400,0.382100,0.314400,0.773700,0.397600,0.236700,0.165000,0.131700,0.138900,0.145500,0.149400,1.265014,58.922844,59.394469,1.175839,0.040052,0.901409,4,10,7,5,4,10,7,5,3,11,7,5,3,10,8,5,0.046840,0.090460,0.255100,0.261350,1,1,09:02:2021,04:36:28,634,39.753600,116.961500,36.000000,lev20,Almucantar
XiangHe,30:09:2016,02:04:20,274,274.086343,0.853500,0.511700,0.366600,0.303000,0.727100,0.378500,0.226900,0.159400,0.126400,0.133300,0.139700,0.143600,1.238891,50.117963,50.480662,1.010526,0.087346,0.851484,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.045300,0.087370,0.242050,0.249090,1,1,09:02:2021,04:37:34,634,39.753600,116.961500,36.000000,lev20,Almucantar
Fort_McMurray,29:09:2016,21:18:15,273,273.887674,0.097200,0.052800,0.035600,0.028300,0.089400,0.044700,0.027200,0.019800,0.007800,0.008100,0.008300,0.008600,1.457641,64.732826,64.498615,2.981190,0.114351,0.095695,3,10,6,5,3,10,7,5,3,10,7,5,3,10,7,5,0.037980,0.074050,0.194150,0.203080,1,1,07:01:2018,07:14:02,532,56.752306,-111.476139,360.000000,lev20,Almucantar
EPA-NCU,30:09:2016,00:48:28,274,274.033657,0.527800,0.317200,0.223400,0.178800,0.500500,0.288800,0.193200,0.147300,0.027300,0.028500,0.030200,0.031400,1.255106,50.484400,51.090273,1.288786,0.016674,0.527082,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.048230,0.090290,0.278430,0.278890,1,1,09:02:2021,04:12:09,750,24.967533,121.185483,144.000000,lev20,Almucantar
White_Sands_HELSTF,29:09:2016,22:24:26,273,273.933634,0.049900,0.027200,0.019700,0.016800,0.040700,0.017400,0.009500,0.006400,0.009100,0.009700,0.010200,0.010300,1.375417,61.344928,60.772166,4.321044,0.077487,0.050251,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.116880,0.223300,0.347570,0.372050,1,1,09:02:2021,03:52:34,187,32.634942,-106.338072,1207.240000,lev20,Almucantar
White_Sands_HELSTF,29:09:2016,23:17:55,273,273.970775,0.041900,0.023300,0.016900,0.014400,0.034300,0.015100,0.008400,0.005800,0.007600,0.008100,0.008500,0.008600,1.342244,71.902794,71.296548,2.715215,0.041220,0.041417,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.125790,0.238240,0.378820,0.401640,1,1,27:08:2018,20:25:06,187,32.634942,-106.338072,1207.240000,lev20,Almucantar
White_Sands_HELSTF,29:09:2016,23:42:25,273,273.987789,0.041900,0.023400,0.017100,0.014600,0.034100,0.014900,0.008200,0.005600,0.007800,0.008500,0.008900,0.009100,1.325662,76.895371,76.280690,2.722763,0.027718,0.042057,4,9,7,5,4,6,5,6,4,7,5,4,4,7,5,4,0.132280,0.249180,0.401360,0.423060,1,1,09:02:2021,03:53:26,187,32.634942,-106.338072,1207.240000,lev20,Almucantar
Lahore,30:09:2016,02:34:48,274,274.107500,1.667600,1.028500,0.728700,0.585700,1.485500,0.838100,0.529900,0.381500,0.182100,0.190500,0.198800,0.204300,1.202993,69.487750,70.098395,2.235512,0.066039,1.658557,4,10,7,6,4,10,7,6,4,10,7,6,4,10,6,6,0.075710,0.149850,0.302120,0.304580,1,1,09:02:2021,04:32:28,526,31.479870,74.264060,209.000000,lev20,Almucantar
Jaipur,30:09:2016,02:00:00,274,274.083333,1.064700,0.650500,0.455600,0.361300,0.962400,0.543700,0.344600,0.247900,0.102300,0.106800,0.111000,0.113400,1.223942,74.405523,75.058512,1.191416,0.004004,1.059337,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.090840,0.166940,0.340370,0.344040,1,1,09:02:2021,04:30:03,517,26.905817,75.806217,450.000000,lev20,Almucantar
Jaipur,30:09:2016,02:22:55,274,274.099248,1.027900,0.627100,0.439600,0.349300,0.924000,0.518800,0.327200,0.234500,0.103900,0.108400,0.112500,0.114900,1.225050,69.444372,70.090607,0.901738,0.002988,1.022934,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.084340,0.155650,0.315910,0.320230,1,1,09:02:2021,04:32:06,517,26.905817,75.806217,450.000000,lev20,Almucantar
WaveCIS_Site_CSI_6,29:09:2016,22:18:49,273,273.929734,0.085700,0.045900,0.032300,0.027500,0.069800,0.028700,0.014400,0.009600,0.015800,0.017200,0.017900,0.017900,1.446686,71.824499,71.188592,3.922373,0.112934,0.084649,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,4,0.136670,0.134270,0.132130,0.129960,1,1,09:02:2021,03:53:48,638,28.866667,-90.483333,33.581000,lev20,Almucantar
WaveCIS_Site_CSI_6,29:09:2016,22:43:04,273,273.946574,0.089700,0.047000,0.032800,0.028300,0.073200,0.029200,0.014200,0.009500,0.016500,0.017800,0.018600,0.018900,1.492093,76.997029,76.354595,2.871704,0.077708,0.088694,4,10,7,6,4,10,7,5,4,10,7,4,4,10,7,5,0.192250,0.188920,0.185380,0.182220,1,1,09:02:2021,03:53:56,638,28.866667,-90.483333,33.581000,lev20,Almucantar
Goldstone,30:09:2016,00:20:58,274,274.014560,0.034000,0.021500,0.017000,0.015000,0.025300,0.012100,0.007200,0.005000,0.008700,0.009300,0.009800,0.010000,1.016593,76.811331,76.217662,3.727423,0.081538,0.034033,4,10,4,5,4,10,4,5,4,10,6,4,4,10,4,4,0.142060,0.278750,0.389710,0.416560,1,1,09:02:2021,03:48:20,604,35.233333,-116.791667,1100.000000,lev20,Almucantar
