/apps/rocoto/1.3.3/bin/rocotostat -w /home/Bo.Huang/JEDI-2020/UFS-Aerosols_RETcyc/UFS-Aerosols-EP4_JEDI-AeroDA-Reanl/dr-work/xmlFiles//RET_EP4_SpinUp_41M_C96_202005.xml -d /scratch2/BMC/gsd-fv3-dev/bhuang/expRuns/UFS-Aerosols_RETcyc//RET_EP4_SpinUp_41M_C96_202005/dr-work/RET_EP4_SpinUp_41M_C96_202005.db
       CYCLE                    TASK                       JOBID               STATE         EXIT STATUS     TRIES      DURATION
================================================================================================================================
202005260600         gdasretrievemet                           -                   -                   -         -             -
202005260600          gdasmetinccntl                           -                   -                   -         -             -
202005260600       gdasmetinc_enkf01                           -                   -                   -         -             -
202005260600       gdasmetinc_enkf02                           -                   -                   -         -             -
202005260600       gdasmetinc_enkf03                           -                   -                   -         -             -
202005260600       gdasmetinc_enkf04                           -                   -                   -         -             -
202005260600          gdasrplsfccntl                           -                   -                   -         -             -
202005260600       gdasrplsfc_enkf01                           -                   -                   -         -             -
202005260600       gdasrplsfc_enkf02                           -                   -                   -         -             -
202005260600       gdasrplsfc_enkf03                           -                   -                   -         -             -
202005260600       gdasrplsfc_enkf04                           -                   -                   -         -             -
202005260600                gdasfcst                    52480436           SUCCEEDED                   0         1         210.0
202005260600              gdasefcs01                    52480437           SUCCEEDED                   0         1         952.0
202005260600              gdasefcs02                    52480438           SUCCEEDED                   0         1         973.0
202005260600              gdasefcs03                    52480439           SUCCEEDED                   0         1         946.0
202005260600              gdasefcs04                    52480440           SUCCEEDED                   0         1         949.0
202005260600              gdasefcs05                    52480442           SUCCEEDED                   0         1         957.0
202005260600              gdasefcs06                    52480443           SUCCEEDED                   0         1         950.0
202005260600              gdasefcs07                    52480444           SUCCEEDED                   0         1         949.0
202005260600              gdasefcs08                    52480445           SUCCEEDED                   0         1         941.0
202005260600              gdasemean1                    52482404           SUCCEEDED                   0         1          37.0
202005260600              gdasemean2                    52482405           SUCCEEDED                   0         1          39.0
202005260600              gdasemean3                    52482406           SUCCEEDED                   0         1          38.0
202005260600              gdasemean4                    52482407           SUCCEEDED                   0         1          41.0
202005260600              gdasemean5                    52482408           SUCCEEDED                   0         1          40.0
202005260600              gdasemean6                    52482409           SUCCEEDED                   0         1          39.0
202005260600                gdasarch                    52482541           SUCCEEDED                   0         1          64.0
================================================================================================================================
202005261200         gdasretrievemet                    52483072           SUCCEEDED                   0         1          64.0
202005261200          gdasmetinccntl                    52483493           SUCCEEDED                   0         1          15.0
202005261200       gdasmetinc_enkf01                    52483494           SUCCEEDED                   0         1          53.0
202005261200       gdasmetinc_enkf02                    52483495           SUCCEEDED                   0         1          53.0
202005261200       gdasmetinc_enkf03                    52483496           SUCCEEDED                   0         1          53.0
202005261200       gdasmetinc_enkf04                    52483497           SUCCEEDED                   0         1          53.0
202005261200          gdasrplsfccntl                    52483498           SUCCEEDED                   0         1          15.0
202005261200       gdasrplsfc_enkf01                    52483501           SUCCEEDED                   0         1          24.0
202005261200       gdasrplsfc_enkf02                    52483502           SUCCEEDED                   0         1          25.0
202005261200       gdasrplsfc_enkf03                    52483503           SUCCEEDED                   0         1          24.0
202005261200       gdasrplsfc_enkf04                    52483504           SUCCEEDED                   0         1          25.0
202005261200                gdasfcst                    52484251           SUCCEEDED                   0         1         203.0
